City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,kruisfontein,-34.0033,24.7314,17.03,84,0,1.6,ZA,1731877659
192,cootamundra,-34.65,148.0333,13.06,60,50,4.33,AU,1731877660
193,praia da vitoria,38.7333,-27.0667,17.19,84,66,11.7,PT,1731877661
194,nguigmi,14.2495,13.1092,23.01,23,0,5.73,NE,1731877662
195,asha,54.9973,57.2722,1.03,90,100,5.91,RU,1731877665
196,fortaleza,-3.7227,-38.5247,28.07,74,40,7.2,BR,1731877409
197,prachuap khiri khan,12.2167,99.75,22.82,89,51,1.12,TH,1731877668
198,monywa,22.1167,95.1333,19.62,80,11,2.29,MM,1731877669
199,cannonvale,-20.2833,148.7,24.66,64,100,5.5,AU,1731877670
200,cururupu,-1.8283,-44.8683,26.4,76,9,2.19,BR,1731877671
201,mount gambier,-37.8333,140.7667,12.0,83,99,3.56,AU,1731877672
202,dudinka,69.4058,86.1778,-7.59,94,100,6.14,RU,1731877673
203,pacific grove,36.6177,-121.9166,17.98,65,63,0.89,US,1731877674
204,whakatane,-37.9585,176.9854,18.06,58,2,1.79,NZ,1731877676
205,ataq,14.5377,46.8319,20.55,66,21,3.19,YE,1731877677
206,liman,48.9884,37.8023,1.23,69,4,2.94,UA,1731877678
207,hastings,50.8552,0.5729,10.1,48,83,9.47,GB,1731877679
208,ceerigaabo,10.6162,47.368,17.78,73,29,1.48,SO,1731877681
209,key largo,25.0865,-80.4473,24.56,63,93,6.33,US,1731877682
210,chibougamau,49.9168,-74.3659,0.29,76,100,1.66,CA,1731877684
211,tofol,5.3248,163.0078,28.73,75,7,5.48,FM,1731877685
212,la ronge,55.1001,-105.2842,-0.88,86,100,5.14,CA,1731877686
213,gadzhiyevo,69.2551,33.3362,1.05,75,100,6.64,RU,1731877562
214,liwonde,-15.0506,35.2035,26.14,61,13,1.25,MW,1731877688
215,atherton,53.5237,-2.4935,6.05,96,97,2.99,GB,1731877689
216,villa gesell,-37.2639,-56.973,13.8,62,99,9.87,AR,1731877476
217,nejo,9.5,35.5,14.96,84,14,1.01,ET,1731877692
218,kabinda,-6.1333,24.4833,19.68,94,95,0.67,CD,1731877693
